Player,Zone,Passes_Sent,Passes_Received,Total_Passes,In_Degree,Out_Degree,Betweenness
74891,Defensive,7,6,13,0.41666666666666663,0.5,0.3005050505050505
456583,Offensive,6,6,12,0.41666666666666663,0.3333333333333333,0.12878787878787878
412148,Offensive,7,5,12,0.3333333333333333,0.41666666666666663,0.09343434343434344
270437,Offensive,3,3,6,0.16666666666666666,0.16666666666666666,0.05808080808080808
586050,Defensive,2,2,4,0.16666666666666666,0.16666666666666666,0.04924242424242424
654833,Defensive,2,2,4,0.08333333333333333,0.16666666666666666,0.022727272727272728
608705,Offensive,1,2,3,0.16666666666666666,0.08333333333333333,0.08333333333333334
429532,Defensive,1,2,3,0.08333333333333333,0.08333333333333333,0.0
35236,Offensive,1,2,3,0.16666666666666666,0.08333333333333333,0.11363636363636365
38465,Offensive,1,1,2,0.08333333333333333,0.08333333333333333,0.022727272727272728
274054,Defensive,1,1,2,0.08333333333333333,0.08333333333333333,0.0
411721,Unknown,0,1,1,0.08333333333333333,0.0,0.0
828910,Offensive,1,0,1,0.0,0.08333333333333333,0.0
