PlayerID,Position,Passes_Sent,Passes_Received,Total_Passes,Out_Degree,In_Degree,Betweenness
562400,D,62,64,126,0.6818181818181819,0.6363636363636364,0.13686868686868686
223971,F,60,56,116,0.4545454545454546,0.4545454545454546,0.011544011544011544
703734,D,50,50,100,0.3181818181818182,0.4545454545454546,0.013564213564213563
496519,D,47,43,90,0.5454545454545454,0.4090909090909091,0.04220779220779221
23843,F,39,42,81,0.36363636363636365,0.4545454545454546,0.06338383838383838
304943,F,30,41,71,0.36363636363636365,0.5454545454545454,0.062373737373737366
766882,D,33,35,68,0.3181818181818182,0.4090909090909091,0.01911976911976912
825454,D,29,37,66,0.36363636363636365,0.4545454545454546,0.15187590187590186
156109,F,22,37,59,0.36363636363636365,0.5,0.04671717171717172
782664,F,37,15,52,0.4545454545454546,0.2272727272727273,0.07435064935064935
367178,D,23,24,47,0.2272727272727273,0.2272727272727273,0.007215007215007214
957949,F,17,23,40,0.36363636363636365,0.36363636363636365,0.09347041847041847
676008,D,18,17,35,0.2727272727272727,0.2272727272727273,0.03300865800865801
796627,F,16,11,27,0.2727272727272727,0.2272727272727273,0.0772005772005772
660523,F,12,14,26,0.18181818181818182,0.2272727272727273,0.04148629148629148
582819,F,9,15,24,0.13636363636363635,0.2272727272727273,0.016233766233766232
580421,F,13,11,24,0.18181818181818182,0.18181818181818182,0.008297258297258296
122427,D,10,6,16,0.18181818181818182,0.09090909090909091,0.0021645021645021645
578487,G,9,0,9,0.13636363636363635,0.0,0.0
10739,G,6,0,6,0.13636363636363635,0.0,0.0
40622,F,2,2,4,0.045454545454545456,0.045454545454545456,0.04112554112554113
497372,F,0,3,3,0.0,0.045454545454545456,0.0
107569,F,2,0,2,0.045454545454545456,0.0,0.0
